# Generated by tools/agent/objdiff_report.py --update-inventory.
# address	size	name
0x08000000	0x4	entry_branch
0x080000c0	0x3c	_start
0x080000fc	0x18	IntrEnable
0x08000114	0x18	IntrDisable
0x0800012c	0x114	IntrMain
0x08000240	0x64	sub_08000240
0x080002a4	0x18c	AgbMain
0x08000430	0x94	Init1
0x080004c4	0x114	Input_Poll
0x080005d8	0xa0	PollInputAndAttract
0x08000678	0xae	PollKeys_DPad
0x08000728	0x2	sub_08000728
0x0800072c	0x38	ClearVramAndWorkram
0x08000764	0x2c	RandRange
0x08000790	0x90	VBlankIntr
0x08000820	0x64	IrqHandler_Install
0x08000884	0x2	sub_08000884
0x08000888	0x2	sub_08000888
0x0800088c	0x50	IntrHBlank
0x080008dc	0x24	WaitVblank
0x08000900	0xc	GetFrameTick
0x0800090c	0xc	sub_0800090C
0x08000918	0x254	Scene08_Main
0x08000b6c	0x12c	Scene08_UpdatePlayerEntity
0x08000c98	0x18	Scene08_StartIntro
0x08000cb0	0x3c	Scene08_InitModeControl
0x08000cec	0x40	Scene08_PlayFrameTick
0x08000d2c	0x24	Mode8_StateStep
0x08000d50	0xa	Mode8_Teardown
0x08000d5c	0xb0	Mode8_Setup
0x08000e0c	0xac	Scene09_UpdatePlayerTile
0x08000eb8	0x270	Scene09_Run
0x08001128	0x18	EntityProbe_SetMode2
0x08001140	0x34	EntityProbe_ResetAndDispatch
0x08001174	0x24	EntityProbe_FinishOrSetup
0x08001198	0xa	ModeControl_Cleanup
0x080011a4	0x70	Entity_UpdateHudState
0x08001214	0x264	Scene10_Main
0x08001478	0xc	SetGameMode_03
0x08001484	0x34	Scene_Init_04
0x080014b8	0x2c	Scene10_FrameUpdate
0x080014e4	0xa	Scene10_Exit
0x080014f0	0x16	Scene10_EntityTick
0x08001508	0x28c	Scene11_AttractModeMain
0x08001794	0x14	Scene11_ArmModeTransition
0x080017a8	0x34	Scene05_Init
0x080017dc	0x74	Scene05_Tick
0x08001850	0x4c	Scene05_StateTransition
0x0800189c	0xa	Scene05_Exit
0x080018a8	0x50	Scene05_EntityDispatch
0x080018f8	0xbc	Scene12_UpdateTileInteraction
0x080019b4	0x338	Scene12_Main
0x08001cec	0x2c	Scene12_InitPlayState
0x08001d18	0x3c	Scene06_Init
0x08001d54	0x40	Scene06_Tick
0x08001d94	0x84	Scene_UpdateAnimState
0x08001e18	0xa	Scene06_Exit
0x08001e24	0x360	Entity_CollisionProbe
0x08002184	0x2c0	Scene13_Update
0x08002444	0xc	SetGameMode_06
0x08002450	0x34	Scene25_ModeInit
0x08002484	0x60	Scene_FrameUpdate
0x080024e4	0x34	Scene_CleanupOnExit
0x08002518	0xa	sub_08002518
0x08002524	0x23c	SceneLoop_14
0x08002760	0xc	SetGameMode_07
0x0800276c	0x34	Scene08_Init
0x080027a0	0x50	Scene08_Tick
0x080027f0	0x16	Scene08_StateGuard
0x08002808	0xa	Scene08_Exit
0x08002814	0x30	Scene08_EntityDispatch
0x08002844	0x218	Scene15_Main
0x08002a5c	0xc	SetGameMode_08
0x08002a68	0x34	Mode9_Init
0x08002a9c	0x28	Mode9_Update
0x08002ac4	0x16	Mode9_AdvanceState
0x08002adc	0xa	sub_08002ADC
0x08002ae8	0x70	Scene_EnterLevel
0x08002b58	0x2ac	SceneLoop_16
0x08002e04	0xc	SetGameMode_09
0x08002e10	0x34	GameMode10_Init
0x08002e44	0x50	GameMode10_Tick
0x08002e94	0x16	GameMode10_StateCallback
0x08002eac	0xa	GameMode10_Cleanup
0x08002eb8	0x30	GameMode10_TileCheckTick
0x08002ee8	0x2ec	Scroll_UpdateCameraAlt
0x080031d4	0x80	Player_UpdateHorizontalInput
0x08003254	0x118	GameMode_SceneTick
0x0800336c	0x218	SceneLoop_17
0x08003584	0x18	Scene17_LoadPart
0x0800359c	0x34	Scene17_ModeControlInit
0x080035d0	0x28	Scene17_PauseCheck
0x080035f8	0xa	Scene17_Exit
